solve_index,attempts,wall_ms,gpu_model,solver
0,73,320408.2,P104-100,lean
1,22,97296.7,P104-100,lean
2,76,330356.8,P104-100,lean
3,21,93004.0,P104-100,lean
4,17,75515.6,P104-100,lean
5,16,71449.3,P104-100,lean
6,56,244506.6,P104-100,lean
7,1,6458.8,P104-100,lean
8,105,457320.3,P104-100,lean
9,29,127722.4,P104-100,lean
10,137,595482.7,P104-100,lean
11,13,58107.4,P104-100,lean
12,12,53845.2,P104-100,lean
13,28,123590.1,P104-100,lean
14,65,283478.5,P104-100,lean
15,2,10726.8,P104-100,lean
16,19,84153.9,P104-100,lean
17,15,67413.9,P104-100,lean
18,59,258595.8,P104-100,lean
19,63,273241.7,P104-100,lean
20,35,153961.0,P104-100,lean
21,38,166400.7,P104-100,lean
22,7,32405.2,P104-100,lean
23,121,518913.3,P104-100,lean
24,3,14441.0,P104-100,lean
25,65,270804.9,P104-100,lean
26,68,284558.0,P104-100,lean
27,82,324700.0,P104-100,lean
28,166,574551.8,P104-100,lean
29,9,43245.6,P104-100,lean
30,9,40564.1,P104-100,lean
31,5,24260.2,P104-100,lean
32,8,36293.0,P104-100,lean
33,9,41604.6,P104-100,lean
34,146,634312.8,P104-100,lean
35,94,409813.7,P104-100,lean
36,123,536402.0,P104-100,lean
37,39,171772.8,P104-100,lean
38,25,110008.8,P104-100,lean
39,56,244860.8,P104-100,lean
40,118,512426.7,P104-100,lean
41,67,291858.0,P104-100,lean
42,2,12008.1,P104-100,lean
43,18,79486.2,P104-100,lean
44,10,45334.2,P104-100,lean
45,45,195400.6,P104-100,lean
46,57,248949.3,P104-100,lean
47,17,76226.8,P104-100,lean
48,100,437338.0,P104-100,lean
49,82,345119.8,P104-100,lean
50,14,60880.9,P104-100,lean
51,16,68513.5,P104-100,lean
52,7,31814.9,P104-100,lean
53,22,93505.1,P104-100,lean
54,11,48009.4,P104-100,lean
55,82,342240.3,P104-100,lean
56,18,74831.0,P104-100,lean
57,61,232123.6,P104-100,lean
58,47,208073.9,P104-100,lean
59,18,79231.9,P104-100,lean
60,25,110110.7,P104-100,lean
61,51,223040.8,P104-100,lean
62,53,231350.1,P104-100,lean
63,10,45390.2,P104-100,lean
64,63,274557.6,P104-100,lean
65,8,36182.9,P104-100,lean
66,62,271214.7,P104-100,lean
67,17,75118.5,P104-100,lean
68,74,321468.5,P104-100,lean
69,66,289147.7,P104-100,lean
70,9,41083.8,P104-100,lean
71,118,514413.9,P104-100,lean
72,40,175732.3,P104-100,lean
73,46,202688.7,P104-100,lean
74,3,15019.2,P104-100,lean
75,80,348883.7,P104-100,lean
76,19,83854.5,P104-100,lean
77,11,49826.6,P104-100,lean
78,94,408671.5,P104-100,lean
79,38,165814.8,P104-100,lean
80,61,259390.2,P104-100,lean
81,18,76594.5,P104-100,lean
82,58,243929.1,P104-100,lean
83,107,443914.4,P104-100,lean
84,102,379349.2,P104-100,lean
85,47,161995.4,P104-100,lean
86,8,29437.0,P104-100,lean
87,43,190721.6,P104-100,lean
88,4,19149.8,P104-100,lean
89,33,144793.9,P104-100,lean
