solve_index,attempts,wall_ms,gpu_model,solver
58,47,208073.9,P104-100,lean
59,18,79231.9,P104-100,lean
60,25,110110.7,P104-100,lean
61,51,223040.8,P104-100,lean
62,53,231350.1,P104-100,lean
63,10,45390.2,P104-100,lean
64,63,274557.6,P104-100,lean
65,8,36182.9,P104-100,lean
66,62,271214.7,P104-100,lean
67,17,75118.5,P104-100,lean
68,74,321468.5,P104-100,lean
69,66,289147.7,P104-100,lean
70,9,41083.8,P104-100,lean
71,118,514413.9,P104-100,lean
72,40,175732.3,P104-100,lean
73,46,202688.7,P104-100,lean
74,3,15019.2,P104-100,lean
75,80,348883.7,P104-100,lean
76,19,83854.5,P104-100,lean
77,11,49826.6,P104-100,lean
78,94,408671.5,P104-100,lean
79,38,165814.8,P104-100,lean
80,61,259390.2,P104-100,lean
81,18,76594.5,P104-100,lean
82,58,243929.1,P104-100,lean
83,107,443914.4,P104-100,lean
84,102,379349.2,P104-100,lean
85,47,161995.4,P104-100,lean
86,8,29437.0,P104-100,lean
