edgebits,gpu,nonce,time_ms
29,4,40,4498
29,3,30,4536
29,6,60,4440
29,1,10,4568
29,5,50,4493
29,0,0,4435
29,2,20,4610
29,0,1,4400
29,6,61,4534
29,4,41,4448
29,2,21,4415
29,1,11,4550
29,5,51,4488
29,3,31,4544
29,3,32,4422
29,2,22,4470
29,1,12,4489
29,5,52,4370
29,0,2,4447
29,4,42,4502
29,6,62,4578
29,0,3,4346
29,3,33,4464
29,2,23,4488
29,4,43,4376
29,5,53,4487
29,6,63,4471
29,1,13,4480
29,4,44,4437
29,0,4,4432
29,5,54,4452
29,2,24,4436
29,6,64,4496
29,3,34,4583
29,1,14,4408
29,6,65,4435
29,0,5,4481
29,3,35,4454
29,1,15,4467
29,2,25,4467
29,4,45,4452
29,5,55,4436
29,6,66,4501
29,2,26,4492
29,0,6,4499
29,1,16,4488
29,4,46,4523
29,3,36,4459
29,5,56,4442
29,4,47,4465
29,1,17,4492
29,0,7,4533
29,6,67,4496
29,2,27,4465
29,3,37,4500
29,5,57,4468
29,1,18,4493
29,3,38,4457
29,0,8,4459
29,4,48,4437
29,6,68,4493
29,5,58,4550
29,2,28,4486
29,6,69,4406
29,2,29,4426
29,5,59,4446
29,1,19,4473
29,3,39,4490
29,4,49,4489
29,0,9,4509
31,1,8,18234
31,4,32,18238
31,5,40,18534
31,3,24,18357
31,6,48,18463
31,2,16,18385
31,0,0,18537
31,4,33,18221
31,1,9,18294
31,2,17,18320
31,3,25,18295
31,5,41,18365
31,6,49,18369
31,0,1,18496
31,2,18,18243
31,5,42,18315
31,6,50,18425
31,1,10,18419
31,3,26,18417
31,0,2,18452
31,4,34,18405
31,4,35,18160
31,1,11,18367
31,2,19,18378
31,6,51,18371
31,5,43,18303
31,0,3,18458
31,3,27,18562
31,1,12,18317
31,0,4,18339
31,3,28,18465
31,2,20,18369
31,6,52,18303
31,4,36,18350
31,5,44,18483
31,4,37,18252
31,6,53,18452
31,5,45,18333
31,2,21,18438
31,3,29,18397
31,0,5,18494
31,1,13,18459
31,1,14,18378
31,2,22,18366
31,0,6,18367
31,4,38,18430
31,3,30,18418
31,5,46,18399
31,6,54,18524
31,5,47,18347
31,1,15,18406
31,2,23,18319
31,4,39,18404
31,3,31,18316
31,6,55,18364
31,0,7,18502
