edgebits,solver,gpu,nonce,edges,dupes,solve_ms
29,lean,0,0,,,3362
29,lean,0,1,,,3263
29,lean,0,2,,,3284
29,lean,0,3,,,3254
29,lean,0,4,,,3278
29,lean,0,5,,,3278
29,lean,0,6,,,3279
29,lean,0,7,,,3293
29,lean,0,8,,,3310
29,lean,0,9,,,3263
29,lean,0,10,,,3311
29,lean,0,11,,,3286
29,lean,0,12,,,3277
29,lean,0,13,,,3300
29,lean,0,14,,,3269
29,lean,0,15,,,3277
29,lean,0,16,,,3284
29,lean,0,17,,,3286
29,lean,0,18,,,3283
29,lean,0,19,,,3274
29,lean,0,20,,,3344
29,lean,0,21,,,3272
29,lean,0,22,,,3281
29,lean,0,23,,,3277
29,lean,0,24,,,3273
29,lean,0,25,,,3284
29,lean,0,26,,,3285
29,lean,0,27,,,3279
29,lean,0,28,,,3273
29,lean,0,29,,,3284
29,lean,0,30,,,3290
29,lean,0,31,,,3293
29,lean,0,32,,,3266
29,lean,0,33,,,3290
29,lean,0,34,,,3298
29,lean,0,35,,,3296
29,lean,0,36,,,3289
29,lean,0,37,,,3300
29,lean,0,38,,,3268
29,lean,0,39,,,3274
29,lean,0,40,,,3294
29,lean,0,41,,,3277
29,lean,0,42,,,3292
29,lean,0,43,,,3259
29,lean,0,44,,,3273
29,lean,0,45,,,3278
29,lean,0,46,,,3293
29,lean,0,47,,,3290
29,lean,0,48,,,3290
29,lean,0,49,,,3296
29,lean,0,50,,,3286
29,lean,0,51,,,3277
29,lean,0,52,,,3268
29,lean,0,53,,,3285
29,lean,0,54,,,3280
29,lean,0,55,,,3271
29,lean,0,56,,,3281
29,lean,0,57,,,3289
29,lean,0,58,,,3253
29,lean,0,59,,,3267
29,lean,0,60,,,3279
29,lean,0,61,,,3303
29,lean,0,62,,,3303
29,lean,0,63,,,3307
29,lean,0,64,,,3293
29,lean,0,65,,,3267
29,lean,0,66,,,3229
29,lean,0,67,,,3286
29,lean,0,68,,,3279
29,lean,0,69,,,3257
29,lean,0,70,,,3275
29,lean,0,71,,,3308
29,lean,0,72,,,3288
29,lean,0,73,,,3305
29,lean,0,74,,,3281
29,lean,0,75,,,3296
29,lean,0,76,,,3272
29,lean,0,77,,,3283
29,lean,0,78,,,3284
29,lean,0,79,,,3277
29,lean,0,80,,,3274
29,lean,0,81,,,3300
29,lean,0,82,,,3260
29,lean,0,83,,,3275
29,lean,0,84,,,3294
29,lean,0,85,,,3289
29,lean,0,86,,,3299
29,lean,0,87,,,3291
29,lean,0,88,,,3278
29,lean,0,89,,,3275
29,lean,0,90,,,3275
29,lean,0,91,,,3299
29,lean,0,92,,,3312
29,lean,0,93,,,3259
29,lean,0,94,,,3291
29,lean,0,95,,,3278
29,lean,0,96,,,3300
29,lean,0,97,,,3310
29,lean,0,98,,,3292
29,lean,0,99,,,3279
