edgebits,solver,gpu,nonce,edges,dupes,solve_ms
29,lean,0,0,,,3282
29,lean,0,1,,,2321
29,lean,0,2,,,2330
29,lean,0,3,,,2317
29,lean,0,4,,,2330
29,lean,0,5,,,2329
29,lean,0,6,,,2330
29,lean,0,7,,,2334
29,lean,0,8,,,2344
29,lean,0,9,,,2334
29,lean,0,10,,,2342
29,lean,0,11,,,2331
29,lean,0,12,,,2325
29,lean,0,13,,,2337
29,lean,0,14,,,2324
29,lean,0,15,,,2329
29,lean,0,16,,,2331
29,lean,0,17,,,2334
29,lean,0,18,,,2331
29,lean,0,19,,,2327
29,lean,0,20,,,2354
29,lean,0,21,,,2323
29,lean,0,22,,,2328
29,lean,0,23,,,2326
29,lean,0,24,,,2324
29,lean,0,25,,,2327
29,lean,0,26,,,2329
29,lean,0,27,,,2330
29,lean,0,28,,,2326
29,lean,0,29,,,2328
29,lean,0,30,,,2333
29,lean,0,31,,,2333
29,lean,0,32,,,2323
29,lean,0,33,,,2331
29,lean,0,34,,,2335
29,lean,0,35,,,2332
29,lean,0,36,,,2330
29,lean,0,37,,,2335
29,lean,0,38,,,2321
29,lean,0,39,,,2326
29,lean,0,40,,,2335
29,lean,0,41,,,2327
29,lean,0,42,,,2333
29,lean,0,43,,,2318
29,lean,0,44,,,2324
29,lean,0,45,,,2327
29,lean,0,46,,,2333
29,lean,0,47,,,2329
29,lean,0,48,,,2331
29,lean,0,49,,,2332
29,lean,0,50,,,2330
29,lean,0,51,,,2325
29,lean,0,52,,,2321
29,lean,0,53,,,2332
29,lean,0,54,,,2328
29,lean,0,55,,,2325
29,lean,0,56,,,2325
29,lean,0,57,,,2333
29,lean,0,58,,,2335
29,lean,0,59,,,2320
29,lean,0,60,,,2327
29,lean,0,61,,,2335
29,lean,0,62,,,2337
29,lean,0,63,,,2335
29,lean,0,64,,,2333
29,lean,0,65,,,2323
29,lean,0,66,,,2334
29,lean,0,67,,,2330
29,lean,0,68,,,2329
29,lean,0,69,,,2317
29,lean,0,70,,,2325
29,lean,0,71,,,2338
29,lean,0,72,,,2329
29,lean,0,73,,,2335
29,lean,0,74,,,2328
29,lean,0,75,,,2332
29,lean,0,76,,,2330
29,lean,0,77,,,2329
29,lean,0,78,,,2327
29,lean,0,79,,,2333
29,lean,0,80,,,2327
29,lean,0,81,,,2336
29,lean,0,82,,,2325
29,lean,0,83,,,2322
29,lean,0,84,,,2332
29,lean,0,85,,,2330
29,lean,0,86,,,2333
29,lean,0,87,,,2330
29,lean,0,88,,,2328
29,lean,0,89,,,2328
29,lean,0,90,,,2335
29,lean,0,91,,,2337
29,lean,0,92,,,2342
29,lean,0,93,,,2319
29,lean,0,94,,,2332
29,lean,0,95,,,2325
29,lean,0,96,,,2335
29,lean,0,97,,,2339
29,lean,0,98,,,2331
29,lean,0,99,,,2326
