edgebits,solver,gpu,nonce,edges,dupes,solve_ms
29,mean,0,0,264,0,1584
29,mean,0,1,238,0,292
29,mean,0,2,236,0,234
29,mean,0,3,216,0,208
29,mean,0,4,244,0,201
29,mean,0,5,230,0,197
29,mean,0,6,278,0,192
29,mean,0,7,252,0,185
29,mean,0,8,274,0,187
29,mean,0,9,236,0,182
29,mean,0,10,244,0,179
29,mean,0,11,268,0,178
29,mean,0,12,278,0,180
29,mean,0,13,278,0,181
29,mean,0,14,244,0,180
29,mean,0,15,226,0,180
29,mean,0,16,238,0,179
29,mean,0,17,244,0,178
29,mean,0,18,256,2,178
29,mean,0,19,268,0,177
29,mean,0,20,276,0,222
29,mean,0,21,226,0,178
29,mean,0,22,264,0,180
29,mean,0,23,242,0,179
29,mean,0,24,226,0,179
29,mean,0,25,268,0,180
29,mean,0,26,190,0,179
29,mean,0,27,240,0,179
29,mean,0,28,248,0,179
29,mean,0,29,238,0,178
29,mean,0,30,254,2,177
29,mean,0,31,208,0,178
29,mean,0,32,222,0,178
29,mean,0,33,226,0,180
29,mean,0,34,240,0,182
29,mean,0,35,258,0,181
29,mean,0,36,302,0,181
29,mean,0,37,230,0,181
29,mean,0,38,252,0,180
29,mean,0,39,286,0,181
29,mean,0,40,234,0,180
29,mean,0,41,232,0,179
29,mean,0,42,246,0,179
29,mean,0,43,246,0,178
29,mean,0,44,218,0,179
29,mean,0,45,278,0,180
29,mean,0,46,294,0,180
29,mean,0,47,270,0,183
29,mean,0,48,262,0,181
29,mean,0,49,216,0,181
29,mean,0,50,268,0,181
29,mean,0,51,256,0,182
29,mean,0,52,242,0,181
29,mean,0,53,262,0,181
29,mean,0,54,270,0,180
29,mean,0,55,252,0,179
29,mean,0,56,288,0,178
29,mean,0,57,276,0,178
29,mean,0,58,240,0,178
29,mean,0,59,264,0,178
29,mean,0,60,236,0,179
29,mean,0,61,296,4,182
29,mean,0,62,236,0,181
29,mean,0,63,222,0,181
29,mean,0,64,258,0,181
29,mean,0,65,260,0,180
29,mean,0,66,272,0,180
29,mean,0,67,274,4,180
29,mean,0,68,248,0,179
29,mean,0,69,222,0,179
29,mean,0,70,270,0,178
29,mean,0,71,256,2,178
29,mean,0,72,222,0,180
29,mean,0,73,254,0,181
29,mean,0,74,240,0,183
29,mean,0,75,204,0,181
29,mean,0,76,238,0,181
29,mean,0,77,210,2,182
29,mean,0,78,262,0,181
29,mean,0,79,242,0,181
29,mean,0,80,268,4,181
29,mean,0,81,224,0,179
29,mean,0,82,228,0,180
29,mean,0,83,244,0,179
29,mean,0,84,230,0,179
29,mean,0,85,254,0,179
29,mean,0,86,208,0,180
29,mean,0,87,278,0,182
29,mean,0,88,206,0,182
29,mean,0,89,244,0,182
29,mean,0,90,282,2,182
29,mean,0,91,240,0,181
29,mean,0,92,250,0,182
29,mean,0,93,212,0,181
29,mean,0,94,238,0,180
29,mean,0,95,230,0,180
29,mean,0,96,208,0,179
29,mean,0,97,238,0,179
29,mean,0,98,258,0,180
29,mean,0,99,274,2,183
29,mean,0,100,256,0,182
29,mean,0,101,212,2,182
29,mean,0,102,224,0,183
29,mean,0,103,244,0,181
29,mean,0,104,266,0,181
29,mean,0,105,268,0,182
29,mean,0,106,236,0,181
29,mean,0,107,248,0,180
29,mean,0,108,236,2,181
29,mean,0,109,272,0,180
29,mean,0,110,258,0,179
29,mean,0,111,248,0,180
29,mean,0,112,262,0,184
29,mean,0,113,260,0,181
29,mean,0,114,236,0,181
29,mean,0,115,222,0,181
29,mean,0,116,238,0,181
29,mean,0,117,270,0,181
29,mean,0,118,300,0,181
29,mean,0,119,222,0,180
29,mean,0,120,252,0,180
29,mean,0,121,234,0,180
29,mean,0,122,246,0,180
29,mean,0,123,248,6,181
29,mean,0,124,222,0,181
29,mean,0,125,236,0,183
29,mean,0,126,242,0,181
29,mean,0,127,240,0,181
29,mean,0,128,274,0,181
29,mean,0,129,240,0,181
29,mean,0,130,228,0,181
29,mean,0,131,248,0,181
29,mean,0,132,220,2,180
29,mean,0,133,202,0,180
29,mean,0,134,214,0,180
29,mean,0,135,268,0,179
29,mean,0,136,236,0,180
29,mean,0,137,250,0,181
29,mean,0,138,286,0,184
29,mean,0,139,242,0,181
29,mean,0,140,254,0,181
29,mean,0,141,270,0,181
29,mean,0,142,260,2,181
29,mean,0,143,262,0,181
29,mean,0,144,288,0,227
29,mean,0,145,246,0,179
29,mean,0,146,222,0,181
29,mean,0,147,256,2,182
29,mean,0,148,220,4,183
29,mean,0,149,226,0,184
29,mean,0,150,234,0,184
29,mean,0,151,230,0,183
29,mean,0,152,226,0,183
29,mean,0,153,246,0,182
29,mean,0,154,258,2,181
29,mean,0,155,282,2,181
29,mean,0,156,266,0,180
29,mean,0,157,222,4,181
29,mean,0,158,278,0,229
29,mean,0,159,204,0,182
29,mean,0,160,252,0,182
29,mean,0,161,224,0,182
29,mean,0,162,226,2,181
29,mean,0,163,286,2,182
29,mean,0,164,254,0,180
29,mean,0,165,258,0,181
29,mean,0,166,250,0,181
29,mean,0,167,264,0,184
29,mean,0,168,196,0,182
29,mean,0,169,224,0,182
29,mean,0,170,222,0,182
29,mean,0,171,258,0,182
29,mean,0,172,218,2,182
29,mean,0,173,242,0,181
29,mean,0,174,280,0,181
29,mean,0,175,256,0,181
