edgebits,nonce,seconds,found,threads
25,0,1.460986,0,8
25,1,1.486682,1,8
25,2,1.463363,0,8
25,3,1.456166,0,8
25,4,1.458045,0,8
25,5,1.468353,0,8
25,6,1.454430,0,8
25,7,1.472738,0,8
25,8,1.451376,0,8
25,9,1.451146,0,8
25,10,1.481733,0,8
25,11,1.460592,0,8
25,12,1.452247,0,8
25,13,1.465232,0,8
25,14,1.470204,0,8
25,15,1.455471,0,8
25,16,1.455186,0,8
25,17,1.457594,0,8
25,18,1.453887,0,8
25,19,1.461377,0,8
25,20,1.465577,0,8
25,21,1.465561,0,8
25,22,1.451287,0,8
25,23,1.444581,0,8
25,24,1.459889,0,8
25,25,1.448505,0,8
25,26,1.458337,0,8
25,27,1.452746,0,8
25,28,1.442749,0,8
25,29,1.460241,0,8
25,30,1.469120,0,8
25,31,1.450020,0,8
25,32,1.457885,0,8
25,33,1.468699,0,8
25,34,1.447459,0,8
25,35,1.484127,0,8
25,36,1.454402,0,8
25,37,1.453355,0,8
25,38,1.443393,0,8
25,39,1.450543,0,8
25,40,1.472789,0,8
25,41,1.462145,0,8
25,42,1.484636,0,8
25,43,1.461379,0,8
25,44,1.443167,0,8
25,45,1.456400,0,8
25,46,1.460826,0,8
25,47,1.470439,0,8
25,48,1.455184,0,8
25,49,1.494665,0,8
25,50,1.464754,0,8
25,51,1.477034,0,8
25,52,1.465132,0,8
25,53,1.447858,0,8
25,54,1.452953,0,8
25,55,1.482950,0,8
25,56,1.452135,0,8
25,57,1.456732,0,8
25,58,1.443733,0,8
25,59,1.452759,0,8
25,60,1.471258,0,8
25,61,1.452054,0,8
25,62,1.491817,0,8
25,63,1.474851,0,8
25,64,1.463053,0,8
25,65,1.445611,0,8
25,66,1.456558,0,8
25,67,1.450110,0,8
25,68,1.458835,0,8
25,69,1.481677,0,8
25,70,1.481047,0,8
25,71,1.449676,0,8
25,72,1.460690,0,8
25,73,1.458957,0,8
25,74,1.459932,0,8
25,75,1.452411,0,8
25,76,1.492766,0,8
25,77,1.460870,0,8
25,78,1.461724,0,8
25,79,1.449082,0,8
25,80,1.449053,0,8
25,81,1.461693,0,8
25,82,1.465460,0,8
25,83,1.473292,0,8
25,84,1.449226,0,8
25,85,1.438903,0,8
25,86,1.460407,0,8
25,87,1.462653,0,8
25,88,1.467849,0,8
25,89,1.453029,0,8
25,90,1.495835,0,8
25,91,1.448108,0,8
25,92,1.461961,0,8
25,93,1.418806,0,8
25,94,1.448570,0,8
25,95,1.458451,0,8
25,96,1.487582,0,8
25,97,1.420366,0,8
25,98,1.462526,0,8
25,99,1.465941,0,8
25,100,1.465888,0,8
25,101,1.461845,0,8
25,102,1.460111,0,8
25,103,1.474143,0,8
25,104,1.441501,0,8
25,105,1.458111,0,8
25,106,1.462889,0,8
25,107,1.446650,0,8
25,108,1.448740,0,8
25,109,1.460519,0,8
25,110,1.483005,0,8
25,111,1.452185,0,8
25,112,1.449553,0,8
25,113,1.448564,0,8
25,114,1.453655,0,8
25,115,1.457055,1,8
25,116,1.443455,0,8
25,117,1.479323,0,8
25,118,1.451172,0,8
25,119,1.454770,0,8
25,120,1.450276,0,8
25,121,1.447918,0,8
25,122,1.457648,0,8
25,123,1.488845,0,8
25,124,1.469472,0,8
25,125,1.467257,0,8
25,126,1.451171,0,8
25,127,1.460208,0,8
25,128,1.458600,0,8
25,129,1.443577,0,8
25,130,1.452347,0,8
25,131,1.485041,0,8
25,132,1.464102,0,8
25,133,1.472002,0,8
25,134,1.447888,0,8
25,135,1.452813,0,8
25,136,1.454893,0,8
25,137,1.450342,0,8
25,138,1.476374,0,8
25,139,1.454615,0,8
25,140,1.457721,0,8
25,141,1.463773,0,8
25,142,1.447962,0,8
25,143,1.457225,0,8
25,144,1.477807,0,8
25,145,1.459288,0,8
25,146,1.463828,0,8
25,147,1.455039,0,8
25,148,1.448642,0,8
25,149,1.454975,0,8
25,150,1.461892,0,8
25,151,1.479014,0,8
25,152,1.436183,0,8
25,153,1.460645,0,8
25,154,1.455726,0,8
25,155,1.457791,0,8
25,156,1.453690,0,8
25,157,1.460115,0,8
25,158,1.479023,0,8
25,159,1.446578,0,8
25,160,1.448165,0,8
25,161,1.445332,0,8
25,162,1.450040,0,8
25,163,1.449626,0,8
25,164,1.460289,0,8
25,165,1.441394,0,8
25,166,1.455535,0,8
25,167,1.413601,0,8
25,168,1.445252,0,8
25,169,1.460520,0,8
25,170,1.442434,0,8
25,171,1.488091,0,8
25,172,1.474717,0,8
25,173,1.450850,0,8
25,174,1.463948,0,8
25,175,1.453711,0,8
25,176,1.450108,0,8
25,177,1.457794,0,8
25,178,1.458076,0,8
25,179,1.468712,0,8
25,180,1.445655,0,8
25,181,1.447101,0,8
25,182,1.483954,0,8
25,183,1.464988,0,8
25,184,1.454921,0,8
25,185,1.462166,0,8
25,186,1.503124,1,8
25,187,1.440106,0,8
25,188,1.450270,0,8
25,189,1.460284,0,8
25,190,1.454074,0,8
25,191,1.466855,0,8
25,192,1.479590,0,8
25,193,1.448116,0,8
25,194,1.435735,0,8
25,195,1.453303,0,8
25,196,1.508771,0,8
25,197,1.451308,0,8
25,198,1.508956,0,8
25,199,1.470204,0,8
25,200,1.459505,0,8
25,201,1.465992,0,8
25,202,1.450530,0,8
25,203,1.453417,0,8
25,204,1.448431,0,8
25,205,1.456548,0,8
25,206,1.478604,0,8
25,207,1.449934,0,8
25,208,1.451130,0,8
25,209,1.454237,0,8
25,210,1.457530,0,8
25,211,1.448355,0,8
25,212,1.451957,0,8
25,213,1.464179,0,8
25,214,1.445245,0,8
25,215,1.456579,0,8
25,216,1.465128,0,8
25,217,1.464764,0,8
25,218,1.492796,0,8
25,219,1.454912,0,8
25,220,1.473107,0,8
25,221,1.456559,0,8
25,222,1.462669,0,8
25,223,1.466122,0,8
25,224,1.413960,0,8
25,225,1.466143,0,8
25,226,1.451533,0,8
25,227,1.480611,0,8
25,228,1.447764,0,8
25,229,1.453107,0,8
25,230,1.454115,0,8
25,231,1.444497,0,8
25,232,1.458236,0,8
25,233,1.454467,0,8
25,234,1.451964,0,8
25,235,1.450611,1,8
25,236,1.485650,0,8
25,237,1.456148,0,8
25,238,1.471303,0,8
25,239,1.462923,0,8
25,240,1.481868,0,8
25,241,1.417045,0,8
25,242,1.468099,0,8
25,243,1.464873,0,8
25,244,1.461549,0,8
25,245,1.452538,0,8
25,246,1.450562,0,8
25,247,1.497252,0,8
25,248,1.454567,0,8
25,249,1.454991,0,8
25,250,1.449792,0,8
25,251,1.464462,0,8
25,252,1.447637,0,8
25,253,1.461233,0,8
25,254,1.465597,0,8
25,255,1.456077,0,8
25,256,1.503174,0,8
