edgebits,nonce,seconds,found,device,cycle
19,0,0.011208,0,0,
19,1,0.011035,0,0,
19,2,0.011409,0,0,
19,3,0.011790,0,0,
19,4,0.013464,0,0,
19,5,0.011839,0,0,
19,6,0.011680,0,0,
19,7,0.012055,0,0,
19,8,0.009937,0,0,
19,9,0.012421,0,0,
19,10,0.011624,0,0,
19,11,0.010983,0,0,
19,12,0.011978,1,0,3a1c 662a 73d8 8b15 afab f1e9 f2d6 13bc4 1a0af 1bf47 1bf53 255f9 2811a 28ee5 2fa0a 32fa8 33101 342a3 345c3 3a357 43831 44ffa 4b6b7 4c9ec 4e2b1 50621 50ff7 51c24 57e4c 5874e 5e63a 5fc8e 633a3 64835 64da3 67a9a 6b87e 6eafe 6f288 6f466 76027 7c2ee
19,13,0.011347,0,0,
19,14,0.010999,1,0,ebb 4e41 5a3c 61ab dcfc 13f50 156d7 1c6fd 1c70f 1e7a9 1f0f0 20fb0 212c1 24582 28e11 307c9 32b15 32bcd 3725a 39566 3a449 3d669 3de31 425ae 42e92 468aa 4e602 560da 5739a 57ace 57fe8 59f8f 5b193 5c505 5f3f5 672dd 675db 6af30 7161a 71926 78faa 7e7ea
19,15,0.012266,0,0,
19,16,0.011897,0,0,
19,17,0.011102,0,0,
19,18,0.011703,0,0,
19,19,0.011710,0,0,
19,20,0.012082,0,0,
19,21,0.010861,0,0,
19,22,0.011526,0,0,
19,23,0.012125,0,0,
19,24,0.011326,0,0,
19,25,0.011384,0,0,
19,26,0.011478,1,0,d96d 1065f 130be 16c09 17203 177b8 1a9e8 1c3a0 1d25c 1fb78 25e93 32474 344f3 34b19 36a78 3924e 3bee2 3c802 3e619 3eb5d 3f585 41847 45f23 498ab 5198e 54f40 5816a 5d97c 61fc4 64ab5 65ad0 65d2e 6685d 6ae8b 6b1b0 6ec22 6f551 70a14 7196b 7389f 75b78 78c4a
19,27,0.011627,0,0,
19,28,0.010665,0,0,
19,29,0.011403,0,0,
19,30,0.011627,0,0,
19,31,0.012219,0,0,
19,32,0.011490,0,0,
19,33,0.010748,0,0,
19,34,0.011489,0,0,
19,35,0.010737,0,0,
19,36,0.011950,0,0,
19,37,0.011472,0,0,
19,38,0.012897,0,0,
19,39,0.012388,0,0,
19,40,0.010815,0,0,
19,41,0.011084,0,0,
19,42,0.013323,0,0,
19,43,0.011301,0,0,
19,44,0.010581,0,0,
19,45,0.010991,0,0,
19,46,0.011451,0,0,
19,47,0.012232,0,0,
19,48,0.011537,0,0,
19,49,0.011173,0,0,
19,50,0.011751,0,0,
19,51,0.011954,0,0,
19,52,0.011623,0,0,
19,53,0.010719,0,0,
19,54,0.011880,1,0,489 24e3 5841 8798 a460 13b6d 18541 1bed7 1fc31 20a96 22471 245a6 29210 2a310 2bdac 2e640 3059c 3235d 37511 3834f 38cc8 3ae49 3f25b 405d0 4109c 42cb2 47032 493d4 4e9d2 4ed49 59c0b 5a9b8 5e77b 5f7d4 612ef 68431 6b0d2 6f718 76113 7aa4d 7afbe 7c82b
19,55,0.011373,0,0,
19,56,0.011715,0,0,
19,57,0.012151,0,0,
19,58,0.011897,0,0,
19,59,0.012670,0,0,
19,60,0.011071,0,0,
19,61,0.011447,0,0,
19,62,0.012997,0,0,
19,63,0.011644,0,0,
19,64,0.010930,0,0,
19,65,0.011441,0,0,
19,66,0.011597,0,0,
19,67,0.012251,0,0,
19,68,0.010300,0,0,
19,69,0.007010,0,0,
19,70,0.007202,0,0,
19,71,0.007308,0,0,
19,72,0.006743,0,0,
19,73,0.006564,0,0,
19,74,0.006952,0,0,
19,75,0.006258,0,0,
19,76,0.007628,1,0,6ac4 7771 a60c a992 b071 c26c d7a9 ff3f 126bc 1718e 18d0a 1b435 1da3d 22e83 234f0 2588d 28e1a 291c2 3436e 34402 39c52 3ceee 43b81 463f8 4676d 48398 4c962 504ca 52174 56c14 5cd84 69cf3 6d274 6d3a3 6ff64 73004 747b2 755e0 774c6 78fdd 7cca1 7fba4
19,77,0.006797,0,0,
19,78,0.006977,0,0,
19,79,0.007285,0,0,
19,80,0.007034,0,0,
19,81,0.006715,0,0,
19,82,0.007715,0,0,
19,83,0.006703,0,0,
19,84,0.005741,0,0,
19,85,0.004919,0,0,
19,86,0.005515,0,0,
19,87,0.004922,0,0,
19,88,0.004777,0,0,
19,89,0.005523,0,0,
19,90,0.005129,0,0,
19,91,0.004879,0,0,
19,92,0.004793,0,0,
19,93,0.004873,0,0,
19,94,0.003895,0,0,
19,95,0.004137,0,0,
19,96,0.005000,0,0,
19,97,0.004477,0,0,
19,98,0.003897,0,0,
19,99,0.003375,0,0,
19,100,0.003484,0,0,
19,101,0.003616,0,0,
19,102,0.003361,0,0,
19,103,0.003447,0,0,
19,104,0.003625,0,0,
19,105,0.003010,0,0,
19,106,0.003055,0,0,
19,107,0.003899,0,0,
19,108,0.002973,0,0,
19,109,0.003293,0,0,
19,110,0.003046,0,0,
19,111,0.002999,0,0,
19,112,0.003234,0,0,
19,113,0.003008,0,0,
19,114,0.003936,0,0,
19,115,0.003040,0,0,
19,116,0.003078,0,0,
19,117,0.003125,0,0,
19,118,0.003179,0,0,
19,119,0.003522,0,0,
19,120,0.002947,0,0,
19,121,0.003012,0,0,
19,122,0.002805,0,0,
19,123,0.003160,0,0,
19,124,0.003231,0,0,
19,125,0.002745,0,0,
19,126,0.002824,0,0,
19,127,0.002823,0,0,
19,128,0.003102,0,0,
19,129,0.002987,0,0,
19,130,0.003030,0,0,
19,131,0.002902,0,0,
19,132,0.003414,0,0,
19,133,0.002802,0,0,
19,134,0.002755,0,0,
19,135,0.003019,0,0,
19,136,0.002937,0,0,
19,137,0.002933,0,0,
19,138,0.002938,0,0,
19,139,0.002832,0,0,
19,140,0.003168,0,0,
19,141,0.002833,0,0,
19,142,0.003741,0,0,
19,143,0.002973,0,0,
19,144,0.003289,0,0,
19,145,0.002837,0,0,
19,146,0.002778,0,0,
19,147,0.002931,0,0,
19,148,0.003213,0,0,
19,149,0.003229,0,0,
19,150,0.002785,0,0,
19,151,0.003057,0,0,
19,152,0.002896,0,0,
19,153,0.003149,0,0,
19,154,0.002807,0,0,
19,155,0.002999,0,0,
19,156,0.003326,0,0,
19,157,0.003003,0,0,
19,158,0.003443,0,0,
19,159,0.002910,0,0,
19,160,0.002907,0,0,
19,161,0.002763,0,0,
19,162,0.003081,0,0,
19,163,0.003107,0,0,
19,164,0.003260,0,0,
19,165,0.002802,0,0,
19,166,0.003030,0,0,
19,167,0.003063,0,0,
19,168,0.002749,0,0,
19,169,0.002825,0,0,
19,170,0.002980,0,0,
19,171,0.002847,0,0,
19,172,0.002914,0,0,
19,173,0.003326,0,0,
19,174,0.002922,0,0,
19,175,0.003009,0,0,
19,176,0.002768,0,0,
19,177,0.002677,0,0,
19,178,0.002673,0,0,
19,179,0.002778,0,0,
19,180,0.002745,0,0,
19,181,0.002868,0,0,
19,182,0.002722,0,0,
19,183,0.002718,0,0,
19,184,0.002877,0,0,
19,185,0.002652,0,0,
19,186,0.002665,0,0,
19,187,0.002791,0,0,
19,188,0.002728,0,0,
19,189,0.002708,0,0,
19,190,0.002727,0,0,
19,191,0.002742,0,0,
19,192,0.002644,0,0,
19,193,0.002671,0,0,
19,194,0.002762,0,0,
19,195,0.003199,1,0,3b7a 68c3 728a bc5a 10fcc 1670c 179f6 1ccab 1ee06 1f99f 23cdf 27f0e 28c6a 2a197 2e852 321a6 336fa 33d29 38a40 3b630 3b90f 3cf40 41543 42e78 43200 4447f 4523a 4702f 4ba9a 52f7c 5c9f7 606f3 61445 6371c 64af5 683da 684a2 6bcc4 6e004 75a03 78c69 7ed49
19,196,0.002808,0,0,
19,197,0.002739,0,0,
19,198,0.002669,0,0,
19,199,0.002790,0,0,
19,200,0.002730,0,0,
19,201,0.002694,0,0,
19,202,0.002881,0,0,
19,203,0.002845,0,0,
19,204,0.002772,0,0,
19,205,0.002714,0,0,
19,206,0.002732,0,0,
19,207,0.002652,0,0,
19,208,0.002693,0,0,
19,209,0.003341,0,0,
19,210,0.002726,0,0,
19,211,0.002879,0,0,
19,212,0.002978,0,0,
19,213,0.002847,0,0,
19,214,0.002679,0,0,
19,215,0.002834,0,0,
19,216,0.002745,0,0,
19,217,0.002726,0,0,
19,218,0.002830,0,0,
19,219,0.002724,0,0,
19,220,0.003153,0,0,
19,221,0.002822,0,0,
19,222,0.002642,0,0,
19,223,0.002754,0,0,
19,224,0.002797,0,0,
19,225,0.002693,0,0,
19,226,0.002668,0,0,
19,227,0.002694,0,0,
19,228,0.002755,0,0,
19,229,0.002682,0,0,
19,230,0.002830,0,0,
19,231,0.002742,0,0,
19,232,0.003025,0,0,
19,233,0.002649,0,0,
19,234,0.002719,0,0,
19,235,0.002835,0,0,
19,236,0.002829,0,0,
19,237,0.002819,0,0,
19,238,0.002722,0,0,
19,239,0.002840,0,0,
19,240,0.002632,0,0,
19,241,0.002750,0,0,
19,242,0.002700,0,0,
19,243,0.002675,0,0,
19,244,0.002682,0,0,
19,245,0.002919,0,0,
19,246,0.002660,0,0,
19,247,0.002827,0,0,
19,248,0.003066,0,0,
19,249,0.002726,0,0,
19,250,0.002925,1,0,40f1 63d9 81d6 c197 11c13 13c38 17733 1838f 1aa5b 1b180 1e13f 2565f 26ce8 311f2 3743b 3834e 39b88 3b2b8 3b883 3e45a 3ef03 3feb3 40238 42baf 447ed 4687b 46b2f 46dd8 470de 47755 4e992 4f7fb 52966 651d4 68817 6a367 732e0 74817 75e52 76e2b 7b4e9 7f37b
19,251,0.002806,0,0,
19,252,0.002707,0,0,
19,253,0.002968,0,0,
19,254,0.002881,0,0,
19,255,0.002697,0,0,
19,256,0.002850,0,0,
19,257,0.003146,0,0,
19,258,0.002737,0,0,
19,259,0.003021,0,0,
19,260,0.002639,0,0,
19,261,0.002963,0,0,
19,262,0.003070,0,0,
19,263,0.002865,0,0,
19,264,0.002841,0,0,
19,265,0.002771,0,0,
19,266,0.002649,0,0,
19,267,0.002791,0,0,
19,268,0.002739,0,0,
19,269,0.003014,0,0,
19,270,0.002826,0,0,
19,271,0.002720,0,0,
19,272,0.002660,0,0,
19,273,0.003177,0,0,
19,274,0.003078,0,0,
19,275,0.002719,0,0,
19,276,0.002911,0,0,
19,277,0.003049,0,0,
19,278,0.002890,0,0,
19,279,0.002730,0,0,
19,280,0.002762,0,0,
19,281,0.002923,0,0,
19,282,0.003077,0,0,
19,283,0.002890,0,0,
19,284,0.002700,0,0,
19,285,0.002714,0,0,
19,286,0.002632,0,0,
19,287,0.002739,0,0,
19,288,0.003112,0,0,
19,289,0.002948,0,0,
19,290,0.002813,0,0,
19,291,0.002814,0,0,
19,292,0.002711,0,0,
19,293,0.003093,0,0,
19,294,0.002694,0,0,
19,295,0.002755,0,0,
19,296,0.002960,0,0,
19,297,0.003499,0,0,
19,298,0.002820,0,0,
19,299,0.002843,0,0,
19,300,0.002675,0,0,
19,301,0.002947,0,0,
19,302,0.002805,0,0,
19,303,0.002681,0,0,
19,304,0.002805,0,0,
19,305,0.002661,0,0,
19,306,0.003423,1,0,6e69 8263 8c46 b130 d7c3 10b31 19007 19821 1ccd6 1f6ee 21768 22624 22c86 22f86 2ba27 2d0c9 2ef61 3271c 32a14 3d5bf 3dd5c 42d01 47b87 4990e 4c98c 4d37a 51896 5344e 5719f 59247 5aabc 5d565 5f454 5f94e 61366 63f91 64e49 6d524 73427 7a2b8 7c1ca 7c47e
19,307,0.002752,0,0,
19,308,0.002902,0,0,
19,309,0.002658,0,0,
19,310,0.002755,0,0,
19,311,0.002826,0,0,
19,312,0.002695,0,0,
19,313,0.003099,0,0,
19,314,0.002912,0,0,
19,315,0.002730,0,0,
19,316,0.002684,0,0,
19,317,0.002764,0,0,
19,318,0.002694,0,0,
19,319,0.002878,0,0,
19,320,0.002673,0,0,
19,321,0.002883,0,0,
19,322,0.002943,0,0,
19,323,0.003048,0,0,
19,324,0.002764,0,0,
19,325,0.002787,0,0,
19,326,0.002755,0,0,
19,327,0.002755,0,0,
19,328,0.002857,0,0,
19,329,0.002718,0,0,
19,330,0.002662,0,0,
19,331,0.003155,0,0,
19,332,0.002733,0,0,
19,333,0.002740,0,0,
19,334,0.002639,0,0,
19,335,0.002799,0,0,
19,336,0.002672,0,0,
19,337,0.002750,0,0,
19,338,0.003089,0,0,
19,339,0.002796,0,0,
19,340,0.003195,0,0,
19,341,0.002860,0,0,
19,342,0.002898,0,0,
19,343,0.002893,0,0,
19,344,0.002797,0,0,
19,345,0.002751,0,0,
19,346,0.002804,0,0,
19,347,0.002940,0,0,
19,348,0.002708,0,0,
19,349,0.003006,0,0,
19,350,0.003160,0,0,
19,351,0.002777,0,0,
19,352,0.003025,0,0,
19,353,0.002830,0,0,
19,354,0.002843,0,0,
19,355,0.003183,0,0,
19,356,0.002790,0,0,
19,357,0.002784,1,0,1798 3d42 9bef a2d0 e3db 1100e 13864 13e4e 1716c 192ad 1b2d0 1fdc6 2432e 25ae0 2614a 2b1ec 2f6c7 38720 40699 41646 41860 45700 467bd 46c7b 51e63 52689 5c998 5f395 63a9b 656ce 697c9 6e86a 6f046 6f78c 7088b 75413 76eb0 76ed1 79610 799ef 79cc9 7ae6f
19,358,0.002913,0,0,
19,359,0.002956,0,0,
19,360,0.002695,0,0,
19,361,0.002682,0,0,
19,362,0.002888,0,0,
19,363,0.002814,0,0,
19,364,0.002669,0,0,
19,365,0.002710,0,0,
19,366,0.002773,0,0,
19,367,0.002886,0,0,
19,368,0.002734,0,0,
19,369,0.002740,0,0,
19,370,0.002716,0,0,
19,371,0.002874,0,0,
19,372,0.002810,0,0,
19,373,0.002966,0,0,
19,374,0.002709,0,0,
19,375,0.002969,0,0,
19,376,0.002766,0,0,
19,377,0.002742,0,0,
19,378,0.002682,0,0,
19,379,0.003022,0,0,
19,380,0.002792,0,0,
19,381,0.002692,0,0,
19,382,0.003044,0,0,
19,383,0.002721,0,0,
19,384,0.002862,0,0,
19,385,0.002728,0,0,
19,386,0.002688,0,0,
19,387,0.002904,0,0,
