edgebits,nonce,seconds,found,device,cycle
28,0,1.566724,0,0,
28,1,1.566057,0,0,
28,2,1.573078,0,0,
28,3,1.565243,0,0,
28,4,1.556093,0,0,
28,5,1.574236,0,0,
28,6,1.616249,1,0,47f338 abeb31 1da6394 2428867 29b6750 35f88f5 362d0ac 37dcd94 41b18b4 47b4f98 49e02bd 4ab9c5c 50dd4e4 56c3f58 586d9c2 5efa6a2 7778bef 780fc7e 784bd52 85077d8 8cd50c0 8db9b97 9293389 9a86340 aa11e51 aefa3a1 b0fae80 bdc3cc6 c088075 d10d988 d23395c d74e15a d7cb4fa db36288 dc3dc20 e1a8711 e23f09a e353e4f e6406c4 e8f93db f606daa f6230a9
28,7,1.569180,0,0,
28,8,1.561580,0,0,
28,9,1.584624,0,0,
28,10,1.561534,0,0,
28,11,1.563939,0,0,
28,12,1.582328,1,0,1a76e8 9b2d54 d59149 11178c6 128a969 14fe553 165444c 18e6072 39e3360 3f8836f 432d257 4a875b5 4b5d850 4bb7d06 6ee4cc2 6fd8697 7355905 78ed4cf 7f4b546 8b2d49f 8cfc31c 936f6c6 9454a1c 94e446b 9845b55 9c2298c 9cf6772 a0774f6 b82b807 b9ff579 c202d59 c5028f0 c8ccbee c9180d7 d2c576f d65158c ddba2e4 e43314e e4495ff f03069c f30cd34 f69dd02
28,13,1.550689,0,0,
28,14,1.557945,0,0,
28,15,1.571160,0,0,
28,16,1.605186,1,0,afa62 46784f 77398c 91e582 ee06b0 21898f5 27d9d9d 334c5b0 33e6bfa 3ec85c1 4e357c1 4f7283d 505618c 5087371 595f147 5b49590 61e2f3a 6c61e27 72bb709 817807a 81d60bc 89a4674 8b8ac2e 9213af4 940255d 947a985 9c10dec a0b7e73 a45d205 a866720 aeef0fc c341b5c d1163b0 d29e324 d4ae9aa d4b46c2 d59e56e de7b9ad e046360 ea81564 f017708 fd1718c
28,17,1.559121,0,0,
28,18,1.569672,0,0,
28,19,1.552234,0,0,
28,20,1.553812,0,0,
28,21,1.567364,0,0,
28,22,1.552429,0,0,
28,23,1.557283,0,0,
28,24,1.565962,0,0,
28,25,1.573828,0,0,
28,26,1.567903,0,0,
28,27,1.570162,0,0,
28,28,1.580121,0,0,
28,29,1.562009,0,0,
28,30,1.570319,0,0,
28,31,1.580970,0,0,
28,32,1.552264,0,0,
28,33,1.560229,0,0,
28,34,1.559288,0,0,
28,35,1.567026,0,0,
28,36,1.555889,0,0,
28,37,1.546633,0,0,
28,38,1.555251,0,0,
28,39,1.569805,0,0,
28,40,1.547296,0,0,
28,41,1.571360,0,0,
28,42,1.588415,0,0,
28,43,1.571619,0,0,
28,44,1.562000,0,0,
28,45,1.548328,0,0,
28,46,1.566155,0,0,
28,47,1.596625,1,0,2e9dfc a4c3f0 10b1751 1bcfd50 1e12e56 255f1cb 2d5e216 36bbe5e 3c325c9 40c2ba2 45e74d6 4832fcb 4b57fa3 5d64c3b 6257b18 733dea0 75a6338 7d99711 7eb29ba 80e1717 839b873 877aef3 87e39a8 8d5e157 95b8475 a51754b a517bed aa3273e aabe629 abfdbe6 af2b9ad b19812f b68831c c504727 c634ae5 c74c5e7 cff2f18 e1b6502 ea012e9 f09e0b8 f5a4be4 fe69a69
28,48,1.576446,0,0,
28,49,1.571106,0,0,
28,50,1.554987,0,0,
28,51,1.547104,0,0,
28,52,1.578169,0,0,
28,53,1.571798,0,0,
28,54,1.553832,0,0,
28,55,1.572771,0,0,
28,56,1.537519,0,0,
28,57,1.568296,0,0,
28,58,1.546441,0,0,
28,59,1.566136,0,0,
28,60,1.557331,0,0,
28,61,1.549079,0,0,
28,62,1.572906,0,0,
28,63,1.568982,0,0,
28,64,1.571230,0,0,
28,65,1.564959,0,0,
28,66,1.569692,0,0,
28,67,1.562366,0,0,
28,68,1.551067,0,0,
28,69,1.572473,0,0,
28,70,1.556504,0,0,
28,71,1.574155,0,0,
28,72,1.561876,0,0,
28,73,1.553398,0,0,
28,74,1.566483,0,0,
28,75,1.564870,0,0,
28,76,1.587178,1,0,365242 770395 7d9a6b ef6b88 131b448 1d29143 26f336b 2a2fe7d 300decd 359cda6 3c06a0e 4806d91 4b778e0 539fe9d 53aa5cf 5e39727 5f4f331 663275c 6a64fc1 76561b8 76b8968 8238683 8341aaa 8fe8fa1 93f9219 96062db 997c8b3 a1bb8fa a38c02e a9a0c45 aff00b5 b2387fa c3cb857 c44f608 d18ec68 d208259 da45551 e0974fe e3d93aa ec24945 ee33c10 f8c5cc3
28,77,1.568165,0,0,
28,78,1.567504,0,0,
28,79,1.553356,0,0,
28,80,1.553595,0,0,
28,81,1.567927,0,0,
28,82,1.577034,0,0,
28,83,1.575828,0,0,
