edgebits,nonce,seconds,found,device,cycle
29,0,3.200392,0,0,
29,1,3.232839,0,0,
29,2,3.200903,0,0,
29,3,3.218770,0,0,
29,4,3.225459,0,0,
29,5,3.216151,0,0,
29,6,3.221062,0,0,
29,7,3.215867,0,0,
29,8,3.229457,0,0,
29,9,3.231071,0,0,
29,10,3.196856,0,0,
29,11,3.220003,0,0,
29,12,3.217149,0,0,
29,13,3.225239,0,0,
29,14,3.201628,0,0,
29,15,3.210556,0,0,
29,16,3.254646,1,0,e21e8 6a5f34 1099f88 1488ca0 1fdcf96 2181078 21f3083 281f25e 36c0b10 41215a3 443d634 58ed070 71bc5f1 738c3ff 794c17f 90ab795 945ac77 a34998f a9ca070 b684bf2 c6ba3e7 d4666c2 df1e0ac e8c15f1 e8e2b39 f7ce781 1148fd12 125875cd 1281a052 12dcb708 13b74deb 15d7ba1d 15e2119f 1689ba67 170328b9 17806bd0 1904e0e2 198c7763 1c043478 1dc54c77 1e194399 1fef6523
29,17,3.200503,0,0,
29,18,3.206102,0,0,
29,19,3.215865,0,0,
29,20,3.216804,0,0,
29,21,3.209105,0,0,
29,22,3.191346,0,0,
29,23,3.210635,0,0,
29,24,3.202310,0,0,
29,25,3.227198,0,0,
29,26,3.209785,0,0,
29,27,3.249986,0,0,
29,28,3.204069,0,0,
29,29,3.192819,0,0,
29,30,3.197964,0,0,
29,31,3.223466,0,0,
29,32,3.233316,0,0,
29,33,3.220705,0,0,
29,34,3.213211,0,0,
29,35,3.211539,0,0,
29,36,3.209780,0,0,
29,37,3.199945,0,0,
29,38,3.252951,0,0,
29,39,3.205579,0,0,
29,40,3.226394,0,0,
29,41,3.232029,0,0,
29,42,3.221281,0,0,
29,43,3.222360,0,0,
29,44,3.203060,0,0,
29,45,3.203864,0,0,
29,46,3.204796,0,0,
29,47,3.200733,0,0,
29,48,3.205513,0,0,
29,49,3.226173,0,0,
29,50,3.205011,0,0,
29,51,3.213415,0,0,
29,52,3.213665,0,0,
