edgebits,nonce,seconds,found,device,cycle
29,0,3.201790,0,0,
29,1,3.235095,0,0,
29,2,3.202596,0,0,
29,3,3.219737,0,0,
29,4,3.226796,0,0,
29,5,3.217391,0,0,
29,6,3.222658,0,0,
29,7,3.216900,0,0,
29,8,3.231047,0,0,
29,9,3.232404,0,0,
29,10,3.197628,0,0,
29,11,3.222366,0,0,
29,12,3.218846,0,0,
29,13,3.225945,0,0,
29,14,3.203453,0,0,
29,15,3.213318,0,0,
29,16,3.257609,1,0,e21e8 6a5f34 1099f88 1488ca0 1fdcf96 2181078 21f3083 281f25e 36c0b10 41215a3 443d634 58ed070 71bc5f1 738c3ff 794c17f 90ab795 945ac77 a34998f a9ca070 b684bf2 c6ba3e7 d4666c2 df1e0ac e8c15f1 e8e2b39 f7ce781 1148fd12 125875cd 1281a052 12dcb708 13b74deb 15d7ba1d 15e2119f 1689ba67 170328b9 17806bd0 1904e0e2 198c7763 1c043478 1dc54c77 1e194399 1fef6523
29,17,3.201599,0,0,
29,18,3.208061,0,0,
29,19,3.217244,0,0,
29,20,3.218531,0,0,
29,21,3.210694,0,0,
29,22,3.192796,0,0,
29,23,3.214173,0,0,
29,24,3.204597,0,0,
29,25,3.229279,0,0,
29,26,3.210894,0,0,
29,27,3.251305,0,0,
29,28,3.206260,0,0,
29,29,3.192942,0,0,
29,30,3.199892,0,0,
29,31,3.225171,0,0,
29,32,3.235588,0,0,
29,33,3.221784,0,0,
29,34,3.214949,0,0,
29,35,3.213537,0,0,
29,36,3.209880,0,0,
29,37,3.201634,0,0,
29,38,3.255251,0,0,
29,39,3.207739,0,0,
29,40,3.228224,0,0,
29,41,3.234107,0,0,
29,42,3.222705,0,0,
29,43,3.223615,0,0,
29,44,3.205491,0,0,
29,45,3.205816,0,0,
29,46,3.206800,0,0,
29,47,3.202552,0,0,
29,48,3.206820,0,0,
29,49,3.228208,0,0,
29,50,3.207972,0,0,
29,51,3.215329,0,0,
29,52,3.214716,0,0,
29,53,3.219638,0,0,
29,54,3.200133,0,0,
29,55,3.223567,0,0,
29,56,3.220794,0,0,
29,57,3.210444,0,0,
29,58,3.211492,0,0,
29,59,3.192935,0,0,
29,60,3.218006,0,0,
29,61,3.235700,0,0,
29,62,3.213149,0,0,
29,63,3.195090,0,0,
29,64,3.216884,0,0,
29,65,3.219061,0,0,
29,66,3.192851,0,0,
29,67,3.194853,0,0,
29,68,3.217601,0,0,
29,69,3.215505,0,0,
29,70,3.206324,0,0,
29,71,3.200271,0,0,
29,72,3.227103,0,0,
29,73,3.236966,0,0,
29,74,3.181461,0,0,
29,75,3.223004,0,0,
29,76,3.199408,0,0,
29,77,3.208673,0,0,
29,78,3.185851,0,0,
29,79,3.204031,0,0,
29,80,3.204369,0,0,
29,81,3.208399,0,0,
29,82,3.220961,0,0,
29,83,3.212147,0,0,
29,84,3.206562,0,0,
29,85,3.210263,0,0,
29,86,3.236443,0,0,
29,87,3.211001,0,0,
29,88,3.233118,0,0,
29,89,3.226320,0,0,
29,90,3.188109,0,0,
29,91,3.200105,0,0,
29,92,3.219329,0,0,
29,93,3.210966,0,0,
29,94,3.210725,0,0,
29,95,3.191789,0,0,
29,96,3.213404,0,0,
29,97,3.217750,0,0,
29,98,3.217702,0,0,
29,99,3.234435,0,0,
29,100,3.217656,0,0,
29,101,3.232769,0,0,
29,102,3.206377,0,0,
29,103,3.223900,0,0,
29,104,3.212226,0,0,
29,105,3.199292,0,0,
29,106,3.207405,0,0,
29,107,3.226512,0,0,
29,108,3.193501,0,0,
29,109,3.232910,0,0,
29,110,3.222682,0,0,
29,111,3.228762,0,0,
29,112,3.226509,0,0,
29,113,3.216370,0,0,
29,114,3.230736,0,0,
29,115,3.204001,0,0,
29,116,3.205499,0,0,
29,117,3.212122,0,0,
29,118,3.190694,0,0,
29,119,3.193916,0,0,
29,120,3.208134,0,0,
29,121,3.216813,0,0,
29,122,3.213907,0,0,
29,123,3.217794,0,0,
29,124,3.206345,0,0,
29,125,3.198558,0,0,
29,126,3.184373,0,0,
29,127,3.191657,0,0,
29,128,3.201897,0,0,
29,129,3.214536,0,0,
29,130,3.177193,0,0,
29,131,3.208688,0,0,
29,132,3.219665,0,0,
29,133,3.219176,0,0,
29,134,3.213979,0,0,
29,135,3.222821,0,0,
29,136,3.202626,0,0,
29,137,3.202088,0,0,
29,138,3.216808,0,0,
29,139,3.229028,0,0,
29,140,3.221165,0,0,
29,141,3.219273,0,0,
29,142,3.217199,0,0,
29,143,3.198606,0,0,
29,144,3.201682,0,0,
29,145,3.248358,0,0,
29,146,3.229489,0,0,
29,147,3.228805,0,0,
29,148,3.232772,0,0,
29,149,3.207321,0,0,
29,150,3.208098,0,0,
29,151,3.307981,1,0,248221 105525f 1357d35 2bb861e 2ed3bbb 31d5288 34c8a92 3c72d1a 4a5d667 4ce82f8 6b2a718 6cae91a 7c40dc1 7cc88e1 9c0f08e ce4bed0 dabb17e e62eb16 f3ff632 f77513a 113cb74b 11ea0d98 14055bc6 155576da 157a90f4 1718731a 176ccfc0 17df4a08 17eef4ad 1881feef 18a90067 18f98fc0 1952a6a1 19734dc4 19b59da2 1a1829d9 1af8d1b6 1d1982af 1d23cb78 1d53bfa0 1efea232 1f134dfe
29,152,3.215214,0,0,
29,153,3.196699,0,0,
29,154,3.217262,0,0,
29,155,3.252061,0,0,
29,156,3.226097,0,0,
29,157,3.198988,0,0,
29,158,3.205186,0,0,
29,159,3.182116,0,0,
29,160,3.224726,0,0,
29,161,3.214719,0,0,
29,162,3.236763,0,0,
29,163,3.208540,0,0,
29,164,3.289434,1,0,6b0fb a10f2a a4c9e1 1c01318 2b359a3 2f867c9 317100e 5a07834 6442cf4 70cfcf1 7b9f4a9 82145e6 8b58d55 95cf3e6 a943e89 a99141c b3db826 b580bb0 fca9a19 10dee244 120944e9 124ad030 130a22f3 13780c1d 13f454d2 140c32c6 14c7f1e5 14d2250b 15171c00 157b1d5e 16f3b1fe 17378881 1a4f8bc1 1af5e8fb 1bcea725 1daf1ad8 1e7659bd 1e85f0f1 1e9eefb5 1efc379c 1f056853 1f511d5f
29,165,3.210374,0,0,
29,166,3.234061,0,0,
29,167,3.204791,0,0,
29,168,3.216210,0,0,
29,169,3.205834,0,0,
29,170,3.223927,0,0,
29,171,3.199014,0,0,
29,172,3.278084,1,0,1f04dab 45b067c 4ea5bb2 4f18b21 582c955 6410949 701887e 70d6f17 7f43b7f 84cd7f9 a448dff b33f1e7 bf01b2f bf6c7db c2cca6d c461786 c6ab434 ea3a7c1 f015937 f1732d6 10203151 118319cd 123bf86f 14575189 14a63d34 151fe87a 15208638 16cf54a1 17261da1 17a96378 1986cfe9 19a36f4c 1a253ac2 1a50b0ba 1b009a8a 1b2fee77 1cdd7053 1d666039 1dfe9ae7 1e21909d 1fe6011e 1ff01663
29,173,3.196940,0,0,
29,174,3.198023,0,0,
29,175,3.218056,0,0,
29,176,3.241529,0,0,
29,177,3.191600,0,0,
29,178,3.228216,0,0,
29,179,3.227866,0,0,
29,180,3.245820,0,0,
29,181,3.190222,0,0,
29,182,3.250636,0,0,
29,183,3.197446,0,0,
29,184,3.223707,0,0,
29,185,3.203172,0,0,
29,186,3.206479,0,0,
29,187,3.224917,0,0,
29,188,3.226636,0,0,
29,189,3.197337,0,0,
29,190,3.233351,0,0,
29,191,3.205803,0,0,
29,192,3.216212,0,0,
29,193,3.214796,0,0,
29,194,3.210037,0,0,
29,195,3.181913,0,0,
29,196,3.239036,0,0,
29,197,3.184738,0,0,
29,198,3.210955,0,0,
29,199,3.220209,0,0,
