edgebits,nonce,seconds,found,device,cycle
28,0,1.464290,0,0,
28,1,1.463834,0,0,
28,2,1.455626,0,0,
28,3,1.470969,0,0,
28,4,1.466784,0,0,
28,5,1.471226,0,0,
28,6,1.477702,0,0,
28,7,1.471822,0,0,
28,8,1.475555,0,0,
28,9,1.459508,0,0,
28,10,1.467413,0,0,
28,11,1.475341,0,0,
28,12,1.477127,0,0,
28,13,1.467368,0,0,
28,14,1.466781,0,0,
28,15,1.496307,1,0,3f8dcb 8a365e 9fc35e a6403a 1176511 11bf57e 1e846c0 1fb8b24 2f1c15e 3462896 44454e2 447bb93 4bed0ec 51452f0 5aaee22 6c4e58f 6e861d5 75a5273 7b054e7 816f4fc 84c9e80 873a2de 88e2de0 8ab815c 9101d4f 9534553 a677376 aa39d83 ae1bbce b23fa33 b243990 b245236 b6c97ff c522956 c9c3bc4 cddd8be d2e63e5 dff8c13 e31f507 ecb7def f825541 fac246d
28,16,1.468678,0,0,
28,17,1.474225,0,0,
28,18,1.460409,0,0,
28,19,1.462180,0,0,
28,20,1.473089,0,0,
28,21,1.466498,0,0,
28,22,1.476481,0,0,
28,23,1.470984,0,0,
28,24,1.476357,0,0,
28,25,1.466038,0,0,
28,26,1.473017,0,0,
28,27,1.478799,0,0,
28,28,1.468199,0,0,
28,29,1.467335,0,0,
28,30,1.474970,0,0,
28,31,1.468765,0,0,
28,32,1.475253,0,0,
28,33,1.468253,0,0,
28,34,1.475377,0,0,
28,35,1.469838,0,0,
28,36,1.463093,0,0,
28,37,1.472070,0,0,
28,38,1.466430,0,0,
28,39,1.472298,0,0,
28,40,1.469394,0,0,
28,41,1.471307,0,0,
28,42,1.471666,0,0,
28,43,1.478244,0,0,
28,44,1.471487,0,0,
28,45,1.480693,0,0,
28,46,1.470770,0,0,
28,47,1.458985,0,0,
28,48,1.461065,0,0,
28,49,1.481805,0,0,
28,50,1.468219,0,0,
28,51,1.467646,0,0,
28,52,1.469642,0,0,
28,53,1.466543,0,0,
28,54,1.478065,0,0,
