edgebits,nonce,seconds,found,device,cycle
28,0,4.201566,0,0,
28,1,4.202302,0,0,
28,2,4.191159,0,0,
28,3,4.204946,0,0,
28,4,4.197564,0,0,
28,5,4.210104,0,0,
28,6,4.223967,0,0,
28,7,4.209657,0,0,
28,8,4.212336,0,0,
28,9,4.195655,0,0,
28,10,4.195910,0,0,
28,11,4.209233,0,0,
28,12,4.222261,0,0,
28,13,4.207948,0,0,
28,14,4.202447,0,0,
28,15,4.238054,1,0,3f8dcb 8a365e 9fc35e a6403a 1176511 11bf57e 1e846c0 1fb8b24 2f1c15e 3462896 44454e2 447bb93 4bed0ec 51452f0 5aaee22 6c4e58f 6e861d5 75a5273 7b054e7 816f4fc 84c9e80 873a2de 88e2de0 8ab815c 9101d4f 9534553 a677376 aa39d83 ae1bbce b23fa33 b243990 b245236 b6c97ff c522956 c9c3bc4 cddd8be d2e63e5 dff8c13 e31f507 ecb7def f825541 fac246d
28,16,4.202295,0,0,
28,17,4.209685,0,0,
28,18,4.199202,0,0,
28,19,4.205063,0,0,
28,20,4.213576,0,0,
28,21,4.194127,0,0,
28,22,4.212712,0,0,
28,23,4.213716,0,0,
28,24,4.208841,0,0,
28,25,4.206777,0,0,
28,26,4.210661,0,0,
28,27,4.223405,0,0,
28,28,4.207944,0,0,
28,29,4.201125,0,0,
28,30,4.210316,0,0,
28,31,4.211667,0,0,
28,32,4.209167,0,0,
28,33,4.213696,0,0,
28,34,4.206698,0,0,
28,35,4.213669,0,0,
28,36,4.194947,0,0,
28,37,4.212961,0,0,
28,38,4.197989,0,0,
28,39,4.207783,0,0,
28,40,4.200007,0,0,
28,41,4.202763,0,0,
28,42,4.202901,0,0,
28,43,4.210380,0,0,
28,44,4.209906,0,0,
28,45,4.212704,0,0,
28,46,4.208379,0,0,
28,47,4.189932,0,0,
28,48,4.189039,0,0,
28,49,4.222513,0,0,
28,50,4.206667,0,0,
28,51,4.201610,0,0,
28,52,4.205092,0,0,
28,53,4.198872,0,0,
28,54,4.214353,0,0,
28,55,4.239940,1,0,b856b 638fca 13cb370 16d4a08 1ec7767 29d68b3 2f60d8a 2f7f2ee 379619e 427f2a9 507c252 551a96d 561bde1 589c606 5e0c53c 6cd1451 6d5feb2 706c3cc 7639359 7e26247 8408f18 88531a5 88ae587 89c3ecb 8f058b9 9033b8b 9b97326 9fbfb7d 9fc41d0 aa683a2 ab75247 ad766fe b542937 ba88ba0 bba6eb3 c262bfa c2f3aa5 ce674bc d3a671d d6a7af4 de45534 f80996e
28,56,4.209567,0,0,
28,57,4.220621,0,0,
28,58,4.203732,0,0,
28,59,4.208212,0,0,
28,60,4.208506,0,0,
28,61,4.215403,0,0,
28,62,4.204992,0,0,
28,63,4.194271,0,0,
28,64,4.203772,0,0,
28,65,4.220085,0,0,
28,66,4.186394,0,0,
28,67,4.207924,0,0,
28,68,4.195541,0,0,
28,69,4.212096,0,0,
28,70,4.209703,0,0,
28,71,4.202083,0,0,
